,region/country/area,year,series,type,tourism_arrivals_series_type,value,footnotes,continent
0,Afghanistan,2010,Tourism expenditure (millions of US dollars),Tourism,TE,147.0,,Asia
1,Afghanistan,2020,Tourism expenditure (millions of US dollars),Tourism,TE,75.0,,Asia
2,Albania,2010,Tourist/visitor arrivals (thousands),Tourism,TF,2191.0,Excluding nationals residing abroad.,Europe
3,Albania,2020,Tourist/visitor arrivals (thousands),Tourism,TF,2604.0,Excluding nationals residing abroad.,Europe
4,Albania,2021,Tourist/visitor arrivals (thousands),Tourism,TF,5515.0,Excluding nationals residing abroad.,Europe
5,Albania,2022,Tourist/visitor arrivals (thousands),Tourism,TF,7105.0,Excluding nationals residing abroad.,Europe
6,Albania,1995,Tourism expenditure (millions of US dollars),Tourism,TE,70.0,,Europe
7,Albania,2005,Tourism expenditure (millions of US dollars),Tourism,TE,880.0,,Europe
8,Albania,2010,Tourism expenditure (millions of US dollars),Tourism,TE,1778.0,,Europe
9,Albania,2020,Tourism expenditure (millions of US dollars),Tourism,TE,1243.0,,Europe
10,Albania,2021,Tourism expenditure (millions of US dollars),Tourism,TE,2480.0,,Europe
11,Albania,2022,Tourism expenditure (millions of US dollars),Tourism,TE,3255.0,,Europe
12,Algeria,1995,Tourist/visitor arrivals (thousands),Tourism,VF,520.0,Including nationals residing abroad.,Africa
13,Algeria,2005,Tourist/visitor arrivals (thousands),Tourism,VF,1443.0,Including nationals residing abroad.,Africa
14,Algeria,2010,Tourist/visitor arrivals (thousands),Tourism,VF,2070.0,Including nationals residing abroad.,Africa
15,Algeria,2020,Tourist/visitor arrivals (thousands),Tourism,VF,591.0,Including nationals residing abroad.,Africa
16,Algeria,2021,Tourist/visitor arrivals (thousands),Tourism,VF,125.0,Including nationals residing abroad.,Africa
17,Algeria,2022,Tourist/visitor arrivals (thousands),Tourism,VF,1398.0,Including nationals residing abroad.,Africa
18,Algeria,2005,Tourism expenditure (millions of US dollars),Tourism,TE,477.0,,Africa
19,Algeria,2010,Tourism expenditure (millions of US dollars),Tourism,TE,324.0,,Africa
20,Algeria,2020,Tourism expenditure (millions of US dollars),Tourism,TE,50.0,,Africa
21,Algeria,2021,Tourism expenditure (millions of US dollars),Tourism,TE,79.0,,Africa
22,Algeria,2022,Tourism expenditure (millions of US dollars),Tourism,TE,219.0,,Africa
23,American Samoa,1995,Tourist/visitor arrivals (thousands),Tourism,TF,34.0,,Oceania
24,American Samoa,2005,Tourist/visitor arrivals (thousands),Tourism,TF,25.0,,Oceania
25,American Samoa,2010,Tourist/visitor arrivals (thousands),Tourism,TF,23.0,,Oceania
26,American Samoa,2020,Tourist/visitor arrivals (thousands),Tourism,TF,1.0,,Oceania
27,Andorra,2005,Tourist/visitor arrivals (thousands),Tourism,TF,2418.0,,Europe
28,Andorra,2010,Tourist/visitor arrivals (thousands),Tourism,TF,1808.0,Break in the time series.,Europe
29,Andorra,2020,Tourist/visitor arrivals (thousands),Tourism,TF,1872.0,,Europe
30,Andorra,2021,Tourist/visitor arrivals (thousands),Tourism,TF,1949.0,,Europe
31,Andorra,2022,Tourist/visitor arrivals (thousands),Tourism,TF,3555.0,,Europe
32,Andorra,2020,Tourism expenditure (millions of US dollars),Tourism,TE,1351.0,,Europe
33,Andorra,2021,Tourism expenditure (millions of US dollars),Tourism,TE,1893.0,,Europe
34,Angola,1995,Tourist/visitor arrivals (thousands),Tourism,TF,9.0,,Africa
35,Angola,2005,Tourist/visitor arrivals (thousands),Tourism,TF,210.0,,Africa
36,Angola,2010,Tourist/visitor arrivals (thousands),Tourism,TF,425.0,,Africa
37,Angola,2020,Tourist/visitor arrivals (thousands),Tourism,TF,64.0,,Africa
38,Angola,2021,Tourist/visitor arrivals (thousands),Tourism,TF,64.0,,Africa
39,Angola,2022,Tourist/visitor arrivals (thousands),Tourism,TF,130.0,,Africa
40,Angola,1995,Tourism expenditure (millions of US dollars),Tourism,TE,27.0,,Africa
41,Angola,2005,Tourism expenditure (millions of US dollars),Tourism,TE,103.0,,Africa
42,Angola,2010,Tourism expenditure (millions of US dollars),Tourism,TE,726.0,,Africa
43,Angola,2020,Tourism expenditure (millions of US dollars),Tourism,TE,19.0,,Africa
44,Angola,2021,Tourism expenditure (millions of US dollars),Tourism,TE,23.0,,Africa
45,Angola,2022,Tourism expenditure (millions of US dollars),Tourism,TE,24.0,,Africa
